date,Negative,Neutral,Positive,Total,Negative_pct,Neutral_pct,Positive_pct,sentiment_balance
2026-08-05,0,1,0,1,0.0,100.0,0.0,0.0
2026-08-08,0,5,4,9,0.0,55.55555555555556,44.44444444444444,44.44444444444444
2026-08-09,0,3,1,4,0.0,75.0,25.0,25.0
2026-08-10,1,0,1,2,50.0,0.0,50.0,0.0
2026-08-11,1,1,0,2,50.0,50.0,0.0,-50.0
2026-08-12,1,0,1,2,50.0,0.0,50.0,0.0
2026-08-13,1,0,0,1,100.0,0.0,0.0,-100.0
2026-08-14,0,3,0,3,0.0,100.0,0.0,0.0
2026-08-19,0,2,0,2,0.0,100.0,0.0,0.0
2026-08-25,0,1,0,1,0.0,100.0,0.0,0.0
2026-08-31,0,2,0,2,0.0,100.0,0.0,0.0
2026-09-02,1,0,0,1,100.0,0.0,0.0,-100.0
2026-09-04,0,1,0,1,0.0,100.0,0.0,0.0
2026-09-05,1,0,0,1,100.0,0.0,0.0,-100.0
2026-09-06,0,1,0,1,0.0,100.0,0.0,0.0
2026-09-10,1,6,0,7,14.285714285714285,85.71428571428571,0.0,-14.285714285714285
